Comment,Designator,Footprint,LCSC Part #
CL21A106KAYNNNE 25V X5R,"C_3V3I,C_5V",C_0805_2012Metric,C15850
CC0805KRX7R9BB104 50V X7R,"C_3V3O,C_CAN,C_EEP,C_IMU1,C_IMU2,C_LSW,C_LVS,C_M1,C_M2,C_M3,C_M4,C_M5,C_NRST,C_SI1,C_SI2,C_SI3,C_SO1,C_SO2,C_SO3,C_VDDA",C_0805_2012Metric,C49678
CS3225X7R106K500NRL 50V X7R 1210,C_BULK,C_1210_3225Metric,C2918502
CL21A475KAQNNNE 25V X5R,C_MB,C_0805_2012Metric,C1779
CL21A225KBQNNNE 50V X5R,C_VCAP,C_0805_2012Metric,C377773
CL21C200JBANNNC 50V C0G,"C_Y1A,C_Y1B,C_Y2A,C_Y2B",C_0805_2012Metric,C1798
SS34 3A 40V SMA,D1,D_SMA,C8678
SMAJ33A 400W SMA,D2,D_SMA,C353454
SZNUP2105LT1G SOT-23,D_CAN,SOT-23,C233494
NCD0805G1 520nm,D_LED1,LED_0805_2012Metric,C84260
NCD0805R1,D_LED2,LED_0805_2012Metric,C84256
"1812L050/60GR 500mA hold / 1A trip, 60V",F1,R_1812_4532Metric,C19078719
2.54-1x6P straight pin,JB2,WaveshareBuck_OUT_3x3_P2.54mm,C37208
KF2EDGV-3.5-3P header,"J_AUX,J_CAN1,J_CAN2",TerminalBlock_KF2EDG-3.5-3P_1x03_P3.50mm_Horizontal,C441322
PZ254V-11-03P 1x3 2.54mm,J_BOOT,PinHeader_1x03_P2.54mm_Vertical,C2937625
KF2EDGV-3.5-7P header,"J_CH1,J_CH2,J_CH3",TerminalBlock_KF2EDG-3.5-7P_1x07_P3.50mm_Horizontal,C441326
KF2EDGV-3.5-2P header,"J_IGN,J_PWR",TerminalBlock_KF2EDG-3.5-2P_1x02_P3.50mm_Horizontal,C441321
PZ254V-11-05P 1x5 2.54mm,J_SWD,PinHeader_1x05_P2.54mm_Vertical,C492404
TYPE-C-31-M-12 16P,J_USB,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C165948
0805W8F0000T5E,R_ADDR,R_0805_2012Metric,C17477
0805W8F1004T5E 1%,"R_AH1,R_AH2,R_AH3,R_IGH,R_SH1,R_SH2,R_SH3,R_SH4,R_SH5,R_SH6,R_SH7,R_SH8,R_SH9,R_SH10,R_SH11,R_SH12,R_SH13,R_SH14,R_SH15,R_SH16,R_SH17,R_SH18,R_SH19,R_SH20,R_SH21",R_0805_2012Metric,C17514
0805W8F2703T5E 1%,"R_AL1,R_AL2,R_AL3,R_IGL,R_SL1,R_SL2,R_SL3,R_SL4,R_SL5,R_SL6,R_SL7,R_SL8,R_SL9,R_SL10,R_SL11,R_SL12,R_SL13,R_SL14,R_SL15,R_SL16,R_SL17,R_SL18,R_SL19,R_SL20,R_SL21",R_0805_2012Metric,C17589
0805W8F1002T5E 1%,"R_BOOT,R_OE,R_PU1,R_PU2,R_PU3,R_PU4,R_PU5,R_PU6,R_PU7,R_PU8,R_PU9,R_PU10,R_PU11,R_PU12,R_PU13,R_PU14,R_PU15,R_PU16,R_PU17,R_PU18,R_PU19,R_PU20,R_PU21,R_RS",R_0805_2012Metric,C17414
0805W8F5101T5E 1%,"R_CC1,R_CC2",R_0805_2012Metric,C27834
0805W8F1001T5E 1%,"R_LED1,R_LED2,R_LHOLD",R_0805_2012Metric,C17513
0805W8F470JT5E 1%,R_LG,R_0805_2012Metric,C17714
0805W8F4702T5E 1%,R_LIGN,R_0805_2012Metric,C17713
0805W8F2202T5E 1%,R_LPD,R_0805_2012Metric,C17560
0805W8F4701T5E 1%,"R_SCL,R_SDA",R_0805_2012Metric,C17673
0805W8F1200T5E 1%,R_TERM,R_0805_2012Metric,C17437
1.27-8P DIP switch,SW_CFG,SW_DIP_SPSTx08_Slide_KingTek_DSHP08TS_W7.62mm_P1.27mm,C6386921
TL3342F260QG,SW_RST,SW_SPST_TL3342,C2886894
3.3V CAN transceiver,U_CAN,SOIC-8_3.9x4.9mm_P1.27mm,C12084
"TPL7407LAPWR TSSOP-16, 7ch low-side driver","U_DRV1,U_DRV2,U_DRV3",TSSOP-16_4.4x5mm_P0.65mm,C2149827
SUBSTITUTED: M95640-RMN6TP for the 25LC640,U_EEP,SOIC-8_3.9x4.9mm_P1.27mm,C283461
Bosch 6-axis IMU,U_IMU,Bosch_LGA-14_3x2.5mm_P0.5mm,C2836813
BTS7040-1EPZ,U_LATCH,Infineon_PG-TSDSO-14-22,C534838
SUBSTITUTED: AMS1117-3.3 SOT-223,U_LDO,SOT-223-3_TabPin2,C6186
LQFP-64 10x10,U_MCU,LQFP-64_10x10mm_P0.5mm,C69336
SN74HC165DR(LX),"U_SI1,U_SI2,U_SI3",SOIC-16_3.9x9.9mm_P1.27mm,C22384789
"74HC595D,118 Nexperia","U_SO1,U_SO2,U_SO3",SOIC-16_3.9x9.9mm_P1.27mm,C5947
X50328MSB2GI SMD5032-2P 20pF,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
Q13FC13500004 SMD3215-2P,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
