Designator,Mid X,Mid Y,Layer,Rotation
C_3V3I,39.0000,-31.0000,Top,90
C_3V3O,43.0000,-31.0000,Top,90
C_5V,35.0000,-31.0000,Top,90
C_BULK,18.0000,-14.0000,Top,90
C_CAN,110.0000,-12.0000,Top,90
C_EEP,110.0000,-33.0000,Top,90
C_IMU1,111.0000,-25.0000,Top,90
C_IMU2,111.0000,-28.5000,Top,90
C_LSW,17.0000,-34.5000,Top,0
C_LVS,13.0000,-34.5000,Top,0
C_M1,74.0000,-15.5000,Top,0
C_M2,79.0000,-15.5000,Top,0
C_M3,88.0000,-15.5000,Top,0
C_M4,92.0000,-15.5000,Top,0
C_M5,96.0000,-15.5000,Top,0
C_MB,101.0000,-20.0000,Top,0
C_NRST,95.5000,-22.0000,Top,90
C_SI1,43.3000,-40.0000,Top,90
C_SI2,87.3000,-40.0000,Top,90
C_SI3,131.3000,-40.0000,Top,90
C_SO1,29.3000,-40.0000,Top,90
C_SO2,73.3000,-40.0000,Top,90
C_SO3,117.3000,-40.0000,Top,90
C_VCAP,88.0000,-33.0000,Top,0
C_VDDA,82.0000,-33.0000,Top,0
C_Y1A,71.0000,-25.5000,Top,0
C_Y1B,66.0000,-28.5000,Top,0
C_Y2A,71.0000,-19.5000,Top,0
C_Y2B,71.0000,-22.5000,Top,0
D1,10.0000,-14.0000,Top,90
D2,14.0000,-14.0000,Top,90
D_CAN,118.0000,-18.0000,Top,0
D_LED1,23.0000,-5.0000,Top,0
D_LED2,28.0000,-5.0000,Top,0
F1,6.0000,-14.0000,Top,90
J_AUX,66.5000,-4.6000,Top,180
J_CAN1,85.0000,-4.6000,Top,180
J_CAN2,103.5000,-4.6000,Top,180
J_CH1,26.8000,-65.4000,Top,0
J_CH2,70.8000,-65.4000,Top,0
J_CH3,114.8000,-65.4000,Top,0
J_IGN,49.7500,-4.6000,Top,180
J_PWR,34.7500,-4.6000,Top,180
J_USB,135.4400,-20.0000,Top,90
R_ADDR,116.0000,-25.0000,Top,90
R_AH1,61.0000,-11.0000,Top,90
R_AH2,67.0000,-11.0000,Top,90
R_AH3,73.0000,-11.0000,Top,90
R_AL1,64.0000,-11.0000,Top,90
R_AL2,70.0000,-11.0000,Top,90
R_AL3,76.0000,-11.0000,Top,90
R_BOOT,83.2500,-15.5000,Top,90
R_CC1,127.0000,-21.2500,Top,0
R_CC2,127.0000,-18.2500,Top,0
R_IGH,5.0000,-29.0000,Top,0
R_IGL,5.0000,-34.5000,Top,0
R_LED1,23.0000,-9.0000,Top,0
R_LED2,28.0000,-9.0000,Top,0
R_LG,9.0000,-29.0000,Top,0
R_LHOLD,9.0000,-34.5000,Top,0
R_LIGN,17.0000,-29.0000,Top,0
R_LPD,13.0000,-29.0000,Top,0
R_OE,116.0000,-33.0000,Top,90
R_PU1,8.8000,-59.0000,Top,0
R_PU2,14.8000,-59.0000,Top,0
R_PU3,20.8000,-59.0000,Top,0
R_PU4,26.8000,-59.0000,Top,0
